sku,name,barcode,shortDescription,costPrice,mainPrice,wholesalePrice,wholesaleBoxQuantity,categoryId,brandId,stock_showroom,stock_الصالة
910292,PB230 ???? ???? ??????? ?????,,,16.35,27,25,1,???????,ritver,4,0
6178251468,PP8000B-  80G ???? ????? ????,,,14.1,23,21,1,???????,ritver,2,0
56441610,PP8000-MO-YELLOW  1.8KG ????? ????,,,0.9,1.5,1.5,1,??????? ???????,ritver,16,0
81996140,PP8001-SH-1KG ?????? ?????,,,2.9,4.5,4,1,??????? ???????,ritver,13,0
128915813,PS1301 ?????? ???? ?????,,,2.1,3,3,1,??????? ???????,ritver,16,0
71751880,PS1301 ?????? ???? ????,,,11,17,16,1,???? ???? PS,ritver,4,0
460800676,PS1301 ?????? ???? ?????,,,3.25,5.5,4.5,1,???? ???? PS,ritver,6,0
14749929,PS1301 ?????? ???? ????,,,11,17,16,1,???? ???? PS,ritver,2,0
6630314,PS1301 ?????? ????? ?????,,,3.25,5.5,4.5,1,???? ???? PS,ritver,5,0
8381844,PS1301 ?????? ????? ????,,,11,17,16,1,???? ???? PS,ritver,3,0
589400364,PS1551+H ???? ??????? ??? ?????? ????,,,3.25,5.5,4.5,1,???? ???? PS,ritver,6,0
2949,PS1551+H ???? ??????? ??? ?????? ????,,,1.5,2.5,2.5,1,EPOXY,ritver,6,0
410152,PS1551-7040 ??????? ??? ?????? ????? ????,,,7,12,10,1,EPOXY,ritver,4,0
29400,PS1551-7040 ??????? ??? ?????? ????? ????,,,5,9,7,1,EPOXY,ritver,6,0
752773722,PS1601 ???? ????? ?????,,,17,28,26,1,EPOXY,ritver,4,0
8855685,PS1601 ???? ???? ????? ?????,,,27.75,60,55,1,???? ???? PS,ritver,1,0
803468,PS2501 ??????? ???? ???,,,8,13.5,12,1,???? ???? PS,ritver,1,0
62245,PS2501 ??????? ???? ?????,,,50,77,10,1,???? ???? PS,ritver,2,0
5423443,PS2501 ??????? ???? ????,,,11,18.5,15,1,???? ???? PS,ritver,16,0
327726020,PS3005 ???? ???? ?????,,,3.25,6,5,1,???? ???? PS,ritver,12,0
369051945,PS3005 ???? ???? ????,,,14.3,25,22,1,???? ???? PS,ritver,5,0
17085864,PS3005 ???? ???? ?????,,,3.75,6,5,1,???? ???? PS,ritver,12,0
275674712,PS3005 ???? ???? ????,,,14.3,25,22,1,???? ???? PS,ritver,8,0
412843992,PS3005 ???? off white 50% ???? ?????,,,3.75,6,5,1,???? ???? PS,ritver,12,0
84035,PS3005-140 ???? ?????,,,14.3,25,22,1,???? ???? PS,ritver,0,0
931579,PS3005-140 ???? ???? ????,,,14.3,25,22,1,???? ???? PS,ritver,4,0
682022038,PS3005-146 ???? IVORY ?????,,,3.75,6,5,1,???? ???? PS,ritver,5,0
58712427,PS3005-154 OFFWHITE MATT ?????,,,14.3,25,22,1,???? ???? PS,ritver,4,0
412177465,PS3005-154 OFFWHITE MATT ????,,,14.3,25,22,1,???? ???? PS,ritver,8,0
65034561,PS3005-154 OFFWHITE ???? ????,,,3.75,6,5,1,???? ???? PS,ritver,8,0
